OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
43,-94.91953486,29.22519026,five,20,1,Very Stiff,0,10.36555684,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
44,-94.9193493,29.22513884,five,20,1,Very Stiff,0,53.08658084,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
45,-94.91922669,29.22537846,five,20,1,Very Stiff,0,10.10180436,1.2393435,22.762288,2.1828518,0.50763941,0.51697696,334.27869,45.014727,3.0737804
46,-94.91904582,29.22533751,five,20,1,Very Stiff,0,44.33915613,1.2393435,22.762288,2.1828518,0.50763941,0.51697696,334.27869,45.014727,3.0737804
47,-94.91891989,29.22556768,five,20,1,Very Stiff,0,10.21104627,1.5330864,10.989211,2.2438742,0.59684232,0.39918159,326.99284,45.013963,3.0901817
48,-94.91873708,29.22552273,five,20,1,Very Stiff,0,41.43485775,1.5330864,10.989211,2.2438742,0.59684232,0.39918159,326.99284,45.013963,3.0901817
49,-94.91859202,29.22596149,five,20,1,Very Stiff,0,5.779367204,1.5330864,10.989211,2.2438742,0.59684232,0.39918159,326.99284,45.013963,3.0901817
50,-94.91848885,29.22586727,five,20,1,Very Stiff,0,22.82911958,1.5330864,10.989211,2.2438742,0.59684232,0.39918159,326.99284,45.013963,3.0901817
51,-94.91860307,29.22623882,five,20,1,Very Stiff,0,5.774362918,1.8094086,38.793991,2.3057841,0.67782407,0.40410101,329.29002,45.414531,3.0926509
52,-94.91843836,29.22613136,five,20,1,Very Stiff,0,6.82751597,1.5330864,10.989211,2.2438742,0.59684232,0.39918159,326.99284,45.013963,3.0901817
53,-94.91850076,29.22641383,five,20,1,Very Stiff,0,13.87896986,1.8094086,38.793991,2.3057841,0.67782407,0.40410101,329.29002,45.414531,3.0926509
54,-94.91873109,29.22660722,five,20,1,Very Stiff,0,8.869664887,1.8094086,38.793991,2.3057841,0.67782407,0.40410101,329.29002,45.414531,3.0926509
55,-94.91857285,29.22676713,five,20,1,Very Stiff,0,13.23658004,1.8094086,38.793991,2.3057841,0.67782407,0.40410101,329.29002,45.414531,3.0926509
56,-94.92059037,29.22501607,five,20,1,Very Stiff,0,42.96321032,1.0514112,12.048297,2.3991375,0.46695051,0.6399007,342.02178,43.109784,3.0788083
57,-94.92090132,29.22495006,five,20,1,Very Stiff,0,42.63893356,1.0514112,12.048297,2.3991375,0.46695051,0.6399007,342.02178,43.109784,3.0788083
58,-94.92091004,29.22530557,five,20,1,Very Stiff,0,59.20469266,1.4719561,55,2.1489543,0.54040927,0.65547572,324.02641,45.239757,3.0655591
59,-94.92073333,29.22543231,five,20,1,Very Stiff,0,37.00473042,1.4719561,55,2.1489543,0.54040927,0.65547572,324.02641,45.239757,3.0655591
60,-94.92125992,29.2252725,five,20,1,Very Stiff,0,40.559385,1.2166661,44.104625,2.0559579,0.47462189,0.71263897,345.67554,44.994899,3.0578784
61,-94.92091493,29.22547683,five,20,1,Very Stiff,0,10.14314838,1.4719561,55,2.1489543,0.54040927,0.65547572,324.02641,45.239757,3.0655591
62,-94.92062082,29.22566291,five,20,1,Very Stiff,0,10.67172488,1.4719561,55,2.1489543,0.54040927,0.65547572,324.02641,45.239757,3.0655591
