,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_Pole_VS,Pf_Pole_S,Pf_Pole_M
14740,15094,-94.81167579,29.29743903,4,40,1,2.639218558,POINT (-10554387.470199743 3413558.102709341),0.016389182,0.02020094,0.033732012
14741,15095,-94.81150209,29.29742028,4,40,1,22.32834949,POINT (-10554368.134004194 3413555.709335356),0.018292408,0.022487138,0.03780708
14742,15096,-94.81078651,29.29768007,4,40,1,24.15777345,POINT (-10554288.47600297 3413588.870687968),0.019732391,0.02425822,0.040762056
14743,15097,-94.81065941,29.29771251,4,40,1,17.24668492,POINT (-10554274.32729569 3413593.0115548917),0.018721594,0.023033344,0.0385343
14744,15098,-94.81078151,29.29723219,4,40,1,38.19211548,POINT (-10554287.919405516 3413531.700308319),0.020633677,0.025328962,0.043006504
14745,15099,-94.8103415,29.29735376,4,40,1,39.11858892,POINT (-10554238.937716374 3413547.2182862344),0.006325942,0.007760744,0.014493014
14746,15100,-94.81366525,29.2900763,4,40,1,9.465323176,POINT (-10554608.935873898 3412618.308958621),0.013776881,0.01683468,0.027727759
14747,15101,-94.81907393,29.28405725,3,45,1,6.361711054,POINT (-10555211.027377361 3411850.0755678066),0.012772431,0.014889464,0.025277919
14748,15102,-94.81846521,29.2850151,3,45,1,27.87345162,POINT (-10555143.264976926 3411972.3264421443),0.016663955,0.019467468,0.035004759
14749,15103,-94.81443535,29.28607625,3,45,1,18.74741781,POINT (-10554694.663013758 3412107.762885407),0.014463914,0.016908693,0.02920485
14750,15104,-94.81427213,29.28611169,3,45,1,33.85439623,POINT (-10554676.493446471 3412112.286179296),0.016378462,0.019150521,0.033759606
14751,15105,-94.81382924,29.28622638,3,45,1,24.7382905,POINT (-10554627.191157194 3412126.924355293),0.015193529,0.017761395,0.030928901
14752,15106,-94.81494192,29.28651089,3,45,1,4.126502352,POINT (-10554751.054128207 3412163.2371601593),0.013091763,0.015318185,0.026159018
14753,15107,-94.81482481,29.2866615,3,45,1,7.786652532,POINT (-10554738.017502643 3412182.4599754857),0.012838041,0.015030609,0.025162996
14754,15108,-94.81449775,29.28655446,3,45,1,23.60088805,POINT (-10554701.609349983 3412168.7981297164),0.015052104,0.017595954,0.030593555
14755,15109,-94.81312737,29.28676791,4,40,1,21.94992482,POINT (-10554549.05934619 3412196.0414265976),0.016120923,0.019656853,0.033603344
14756,15110,-94.81273439,29.28686646,4,40,1,28.14584278,POINT (-10554505.313012697 3412208.6196932066),0.016989509,0.020692575,0.035551821
14757,15111,-94.81262347,29.28689893,4,40,1,18.05616466,POINT (-10554492.965454778 3412212.763950727),0.015598224,0.019034353,0.032434976
14758,15112,-94.81207305,29.28613703,4,40,1,45.56345108,POINT (-10554431.692980656 3412115.5203864416),0.018689381,0.022487439,0.038089273
14759,15113,-94.81121927,29.28650725,4,40,1,4.036966254,POINT (-10554336.650625806 3412162.7725761672),0.017309551,0.021031537,0.034901516
14760,15114,-94.81009736,29.2867656,4,40,1,16.19988637,POINT (-10554211.760175891 3412195.7465937054),0.017535543,0.021278405,0.034720112
14761,15115,-94.81015382,29.28662765,4,40,1,20.61057336,POINT (-10554218.045274341 3412178.1395939),0.021483747,0.026075174,0.045396389
14762,15116,-94.80980728,29.28672341,4,40,1,54.87128292,POINT (-10554179.468618002 3412190.3617465147),0.024441041,0.029501841,0.049491622
14763,15117,-94.80870562,29.28695219,4,40,1,7.535901095,POINT (-10554056.832387773 3412219.5617101416),0.016611873,0.020223799,0.034031935
14764,15118,-94.80779449,29.28724981,4,40,1,7.623665742,POINT (-10553955.405860128 3412257.548053204),0.015766721,0.01919426,0.032690355
