FID,FID_Road_n,NAME,x_start,y_start,x_end,y_end,xy_start,xy_end,start_node,end_node,StartNode2,EndNode2,length,NEAR_FID,NEAR_DIST,ORIG_FID,NEAR_X,NEAR_Y,water_dist,Lon,Lat
135,0,,3264513.11945,13692335.9935,3264419.87943,13691164.4846,"3264513.11945,13692335.9935","3264419.87943,13691164.4846",97,98,98,99,1186.86770591,125,38496.9682635,135,3283204.5237,13658137.1811,11733.8759267,-94.93163,29.33462
136,0,,3264419.87943,13691164.4846,3264490.40525,13690931.2069,"3264419.87943,13691164.4846","3264490.40525,13690931.2069",98,84,99,85,243.705545256,125,37876.7890851,136,3283204.5237,13658137.1811,11544.8453131,-94.93164,29.3327
137,38,GULF,3262119.62948,13691573.4123,3263137.62745,13690550.3494,"3262119.62948,13691573.4123","3263137.62745,13690550.3494",99,94,100,95,1443.25243175,125,38823.8480745,137,3283156.30162,13658108.7958,11833.5088931,-94.93736,29.33291
138,0,,3262675.95022,13691172.1303,3262119.62948,13691573.4123,"3262675.95022,13691172.1303","3262119.62948,13691573.4123",92,99,93,100,685.944612549,125,39209.7931265,138,3283156.30162,13658108.7958,11951.144945,-94.93805,29.33379
139,0,,3264513.11945,13692335.9935,3263738.60689,13690652.8771,"3264513.11945,13692335.9935","3263738.60689,13690652.8771",97,95,98,96,2145.00822262,125,38161.287524,139,3283204.5237,13658137.1811,11631.5604373,-94.93207,29.33338
140,0,,3264934.25082,13689654.297,3264513.11945,13692335.9935,"3264934.25082,13689654.297","3264513.11945,13692335.9935",82,97,83,98,2780.5373567,125,37726.7788261,140,3283204.5237,13658137.1811,11499.1221862,-94.93125,29.33241
141,38,GULF,3260195.05623,13693234.6229,3262119.62948,13691573.4123,"3260195.05623,13693234.6229","3262119.62948,13691573.4123",100,99,101,100,2543.44055095,125,40750.3480651,141,3283156.30162,13658108.7958,12420.7060902,-94.94179,29.33678
142,38,GULF,3260326.73773,13693437.2094,3263738.60689,13690652.8771,"3260326.73773,13693437.2094","3263738.60689,13690652.8771",101,95,102,96,4406.93283586,125,39959.8364273,142,3283156.30162,13658108.7958,12179.758143,-94.9392,29.33559
143,61,SEAWOLF,3298511.67675,13682841.8138,3312923.10202,13693495.77,"3298511.67675,13682841.8138","3312923.10202,13693495.77",102,162,103,163,19419.4237935,71,11457.1070625,143,3315619.25288,13693749.9397,3492.12623265,-94.80347,29.32188
144,0,,3260195.05623,13693234.6229,3259602.49049,13693847.4474,"3260195.05623,13693234.6229","3259602.49049,13693847.4474",100,103,101,104,852.460030993,125,42383.4426139,144,3283156.30162,13658108.7958,12918.4733087,-94.94566,29.33998
145,47,IH 45,3259602.49049,13693847.4474,3262675.95022,13691172.1303,"3259602.49049,13693847.4474","3262675.95022,13691172.1303",103,92,104,93,4076.13024214,125,40849.805848,145,3283156.30162,13658108.7958,12451.0208225,-94.94182,29.33708
146,45,HWY 6,3262235.39238,13690209.3911,3243665.90917,13693884.1259,"3262235.39238,13690209.3911","3243665.90917,13693884.1259",104,108,105,109,19103.4754187,127,44784.1207728,146,3282884.26033,13657916.0519,13650.2000115,-94.96819,29.33392
147,0,,3259646.42938,13693902.0422,3260326.73773,13693437.2094,"3259646.42938,13693902.0422","3260326.73773,13693437.2094",105,101,106,102,823.947158777,125,42443.0025488,147,3283156.30162,13658108.7958,12936.6271769,-94.94537,29.34033
148,60,SEAWALL,3317315.94002,13685412.7573,3321563.62838,13694035.1698,"3317315.94002,13685412.7573","3321563.62838,13694035.1698",76,163,77,164,9624.47345676,78,3644.71551159,148,3321896.84739,13686910.7445,1110.90928793,-94.75906,29.32355
149,44,HWY 3,3257974.97472,13700153.4909,3262615.73578,13694831.4747,"3257974.97472,13700153.4909","3262615.73578,13694831.4747",106,107,107,108,7061.2855912,125,45537.8627557,149,3283204.5237,13658137.1811,13879.9405679,-94.94398,29.35081
150,44,HWY 3,3262615.73578,13694831.4747,3264513.11945,13692335.9935,"3262615.73578,13694831.4747","3264513.11945,13692335.9935",107,97,108,98,3163.33389418,125,40528.0133616,150,3283204.5237,13658137.1811,12352.9384726,-94.93389,29.33988
151,45,HWY 6,3243665.90917,13693884.1259,3237349.00186,13695820.6315,"3243665.90917,13693884.1259","3237349.00186,13695820.6315",108,164,109,165,6607.0888925,127,55502.8086297,151,3273728.75675,13650390.7119,16917.2560703,-95.00635,29.34543
152,43,HWY 146,3259657.41558,13700231.7168,3261002.88107,13696679.8492,"3259657.41558,13700231.7168","3261002.88107,13696679.8492",109,110,110,111,3820.64695548,125,46327.7322924,152,3283204.5237,13658137.1811,14120.6928027,-94.9432,29.35363
153,43,HWY 146,3261002.88107,13696679.8492,3262615.73578,13694831.4747,"3261002.88107,13696679.8492","3262615.73578,13694831.4747",110,107,111,108,2631.59114896,125,43202.7192663,153,3283204.5237,13658137.1811,13168.1888324,-94.94044,29.34519
154,32,FAIRWOOD,3244710.38838,13699565.956,3243665.90917,13693884.1259,"3244710.38838,13699565.956","3243665.90917,13693884.1259",111,108,112,109,5838.64093486,127,54676.7087684,154,3277411.13581,13653168.5362,16665.4608326,-94.99408,29.3502
155,47,IH 45,3247199.00611,13700344.7868,3258558.45995,13694720.4209,"3247199.00611,13700344.7868","3258558.45995,13694720.4209",112,113,113,114,12715.9520405,127,49762.1656978,155,3282884.26033,13657916.0519,15167.5081047,-94.96693,29.35204
156,47,IH 45,3258558.45995,13694720.4209,3259602.49049,13693847.4474,"3258558.45995,13694720.4209","3259602.49049,13693847.4474",113,103,114,104,1360.91233531,125,43454.413505,156,3283156.30162,13658108.7958,13244.9052363,-94.94814,29.3421
157,47,IH 45,3259646.42938,13693902.0422,3258798.16838,13694608.2862,"3259646.42938,13693902.0422","3258798.16838,13694608.2862",105,114,106,115,1103.77890403,125,43352.0768717,157,3283156.30162,13658108.7958,13213.7130305,-94.9477,29.34201
158,47,IH 45,3258798.16838,13694608.2862,3247138.36548,13700480.9588,"3258798.16838,13694608.2862","3247138.36548,13700480.9588",114,165,115,166,13101.2416877,127,49732.6595422,158,3282884.26033,13657916.0519,15158.5146285,-94.96658,29.35215
159,50,LOOP 197,3269443.95243,13704396.4821,3264513.11945,13692335.9935,"3269443.95243,13704396.4821","3264513.11945,13692335.9935",115,97,116,98,13235.6565944,121,43457.0890172,159,3292489.35763,13663680.458,13245.7207324,-94.924,29.35325
188,26,BROADWAY,3291033.67315,13675941.4252,3290985.90843,13675931.1196,"3291033.67315,13675941.4252","3290985.90843,13675931.1196",138,43,139,44,48.8652867651,121,10895.6431749,188,3297112.21656,13666910.0231,3320.99203971,-94.85002,29.2886
189,13,61ST,3294926.27355,13675912.5162,3295537.40433,13674800.7034,"3294926.27355,13675912.5162","3295537.40433,13674800.7034",139,140,140,141,1269.12766227,115,8082.72326837,189,3300031.84981,13668855.072,2463.6140522,-94.83688,29.28658
190,13,61ST,3295537.40433,13674800.7034,3295680.10016,13674523.1556,"3295537.40433,13674800.7034","3295680.10016,13674523.1556",140,44,141,45,312.081508126,115,7299.54698121,190,3300031.84981,13668855.072,2224.90191987,-94.83575,29.28464
