FID,FID_Road_n,NAME,x_start,y_start,x_end,y_end,xy_start,xy_end,start_node,end_node,StartNode2,EndNode2,length,NEAR_FID,NEAR_DIST,ORIG_FID,NEAR_X,NEAR_Y,water_dist,Lon,Lat
53,69,TEICHMAN,3286910.42537,13674600.3074,3285974.25894,13673868.5468,"3286910.42537,13674600.3074","3285974.25894,13673868.5468",40,153,41,154,1333.27743359,121,11961.2870547,53,3293731.31223,13664587.5763,3645.80029427,-94.86414,29.28417
54,26,BROADWAY,3286910.40766,13674600.751,3283871.46951,13675797.1948,"3286910.40766,13674600.751","3283871.46951,13675797.1948",39,60,40,61,3302.6663395,121,13380.6279671,54,3293037.77213,13664087.6033,4078.41540437,-94.86793,29.28665
55,7,35TH,3306175.71132,13675822.5045,3306813.98662,13673942.8048,"3306175.71132,13675822.5045","3306813.98662,13673942.8048",41,45,42,46,1985.11111545,96,1119.48385226,55,3307125.17766,13673957.4899,341.218678169,-94.80159,29.28418
56,26,BROADWAY,3294851.90293,13676053.2071,3291033.67315,13675941.4252,"3294851.90293,13676053.2071","3291033.67315,13675941.4252",42,138,43,139,3826.99358108,121,9893.43044739,56,3298416.45142,13667778.3271,3015.51760036,-94.84396,29.28863
57,26,BROADWAY,3290985.90843,13675931.1196,3286910.40766,13674600.751,"3290985.90843,13675931.1196","3286910.40766,13674600.751",43,39,44,40,4315.05992843,121,11401.1748863,57,3295515.12828,13665853.0655,3475.07810534,-94.85652,29.28673
58,13,61ST,3294851.90293,13676053.2071,3294926.27355,13675912.5162,"3294851.90293,13676053.2071","3294926.27355,13675912.5162",42,139,43,140,159.138026795,115,8789.39032184,58,3300031.84981,13668855.072,2679.0061701,-94.83786,29.28835
59,13,61ST,3295680.10016,13674523.1556,3296896.84766,13671985.1198,"3295680.10016,13674523.1556","3296896.84766,13671985.1198",44,36,45,37,2818.89920167,115,5764.78176272,59,3300031.77594,13668855.01,1757.10548128,-94.83366,29.28075
60,60,SEAWALL,3306813.98662,13673942.8048,3309987.57804,13676481.8565,"3306813.98662,13673942.8048","3309987.57804,13676481.8565",45,57,46,58,4064.48628238,94,273.529250992,60,3308525.38999,13674964.3134,83.3717157024,-94.79557,29.28489
61,41,HARBORSIDE,3287874.39556,13677157.8627,3286910.40766,13674600.751,"3287874.39556,13677157.8627","3286910.40766,13674600.751",46,39,47,40,3053.45294917,121,13375.9733294,61,3294556.5,13665185.3943,4076.9966708,-94.86308,29.28948
62,26,BROADWAY,3299236.91417,13677346.3784,3294851.90293,13676053.2071,"3299236.91417,13677346.3784","3294851.90293,13676053.2071",47,42,48,43,4583.88758289,112,8063.05455684,62,3301596.97026,13669940.9934,2457.61902892,-94.83096,29.28986
63,10,51ST,3299236.91417,13677346.3784,3299778.04334,13675745.4095,"3299236.91417,13677346.3784","3299778.04334,13675745.4095",47,154,48,155,1689.9474043,103,6520.39278754,63,3303619.91801,13671485.9171,1987.41572164,-94.82331,29.28944
64,54,PRUITT,3287874.39556,13677157.8627,3286944.36789,13677397.6821,"3287874.39556,13677157.8627","3286944.36789,13677397.6821",46,155,47,156,1360.20111136,121,14282.0005975,64,3295515.12828,13665853.0655,4353.15378212,-94.86068,29.2938
65,26,BROADWAY,3303916.12627,13678931.8041,3299236.91417,13677346.3784,"3303916.12627,13678931.8041","3299236.91417,13677346.3784",48,47,49,48,4940.50607774,100,6723.98065983,65,3305128.19043,13672429.6644,2049.46930512,-94.81665,29.29362
66,26,BROADWAY,3305716.64957,13679541.8635,3303916.12627,13678931.8041,"3305716.64957,13679541.8635","3303916.12627,13678931.8041",49,48,50,49,1901.06725919,94,5639.21669508,66,3308135.8785,13674678.1336,1718.83324866,-94.80637,29.29631
