OBJECTID,LON,LAT,TYPE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
709,-94.81283182,29.29670702,2,54.05196536,2.7031664,63.771903,3.2641561,1.0048359,0.34938682,223.27229,37.527895,4.8326766
724,-94.8167573,29.2955178,2,21.86547499,2.7002316,43.357144,3.131753,0.99022715,0.33957617,223.60824,37.178953,4.8131124
725,-94.81682918,29.29565281,2,59.52504783,2.7002316,43.357144,3.131753,0.99022715,0.33957617,223.60824,37.178953,4.8131124
1691,-94.79775911,29.30242825,2,23.75311659,3.2809409,59.247878,3.6116636,1.2350003,0.36812848,227.82165,45.115632,4.9328386
1692,-94.79779603,29.3025646,2,24.73957932,3.2809409,59.247878,3.6116636,1.2350003,0.36812848,227.82165,45.115632,4.9328386
1756,-94.79911214,29.30220274,2,107.2993877,3.4032323,79.245984,3.577814,1.2331685,0.3713372,227.525,42.705206,4.9234501
1851,-94.80024474,29.30176536,2,33.58088432,3.4857633,80,3.5646604,1.2588963,0.37369571,225.61828,42.726437,4.9210086
1852,-94.80006777,29.30182541,2,144.3409765,3.4857633,80,3.5646604,1.2588963,0.37369571,225.61828,42.726437,4.9210086
2014,-94.80250705,29.30118448,2,129.0916409,3.2141464,66.863111,3.5073815,1.1950528,0.36880285,222.51191,40.126314,4.8987744
2083,-94.8036644,29.30087908,2,180.9979195,3.2858241,70.738603,3.5096631,1.211872,0.35995896,223.10178,39.937131,4.8934845
2318,-94.80665713,29.29928418,2,164.6551156,3.4134286,79,3.4819902,1.2289949,0.33935291,225.27283,39.490881,4.8784205
2324,-94.80706838,29.29999798,2,105.482249,3.5112532,79,3.5001796,1.2587894,0.35243861,223.6085,39.630748,4.8820959
2922,-94.81595819,29.29684206,2,92.42546489,2.6422335,19.6752,3.3599493,1.0126897,0.34235711,226.3504,37.374445,4.8294242
2926,-94.81626346,29.2977251,2,49.99874859,2.6704136,14,3.4503429,1.0469732,0.3373519,229.2186,37.435519,4.8358625
3056,-94.81705017,29.29642461,2,14.30454746,2.5988828,13.411623,3.2560264,0.98681407,0.33498739,225.26683,37.2458,4.8192761
3060,-94.81738038,29.29741298,2,20.37318329,2.6478606,13.613226,3.3562051,1.0113486,0.33344267,227.00891,37.276153,4.82498
3586,-94.82581575,29.29638604,2,306.2825056,3.3389751,79,3.4458925,1.2070415,0.50387293,235.66376,38.116759,4.78849
3687,-94.8259573,29.29018266,2,33.82282392,2.4339081,14,2.7883516,0.83951876,0.44286416,230.17244,37.34757,4.675912
3691,-94.82612055,29.29060862,2,48.22853971,2.46108,15.107555,2.8567366,0.87168034,0.44221174,232.31874,37.841728,4.6983622
3739,-94.82316405,29.28188481,2,75.40907047,1.6651534,8.1438112,3.5207545,0.6298478,0.33704843,28.030608,36.960945,4.5714555
3743,-94.82327178,29.28224162,2,17.98405901,1.8041892,9,3.4161037,0.6674085,0.35744364,30.141126,36.97236,4.5867389
3745,-94.82345403,29.28275054,2,43.39617608,1.8041892,9,3.4161037,0.6674085,0.35744364,30.141126,36.97236,4.5867389
3747,-94.82369348,29.28347929,2,19.00130516,1.9048927,9.3160816,3.3008882,0.68718572,0.37032169,34.673371,36.983779,4.6025881
3748,-94.82373858,29.2836164,2,39.40950932,1.9048927,9.3160816,3.3008882,0.68718572,0.37032169,34.673371,36.983779,4.6025881
3751,-94.82402521,29.28448302,2,31.83129557,2.0069319,10,3.2821267,0.75994588,0.42542247,34.67582,36.970821,4.5725667
3755,-94.82432733,29.28535756,2,25.08646561,2.0069319,10,3.2821267,0.75994588,0.42542247,34.67582,36.970821,4.5725667
3756,-94.82451577,29.28588081,2,41.5130714,2.1287446,11.500496,3.2424807,0.76485211,0.49818724,54.564641,36.534184,4.6106868
3758,-94.82477209,29.28663562,2,33.88633645,2.1852203,12.012751,3.250629,0.80110026,0.48174766,41.057162,36.981973,4.59547
3760,-94.82502408,29.28739807,2,30.58590761,2.3103862,12.97614,3.1985625,0.81418614,0.48686634,43.221908,36.611871,4.6177242
3763,-94.82526381,29.28811473,2,22.71607249,2.4207585,14,3.1672587,0.81699599,0.45438148,44.445283,36.757845,4.6369927
3769,-94.82555715,29.28902159,2,28.94923352,2.4035861,14,2.9317953,0.82050983,0.4432423,145.98337,37.060315,4.6559691
3775,-94.82585398,29.28980721,2,27.01537688,2.4339081,14,2.7883516,0.83951876,0.44286416,230.17244,37.34757,4.675912
3779,-94.8263613,29.29134111,2,42.34656631,2.5896822,66.053736,2.9043005,0.92336661,0.45166078,233.04207,38.282693,4.7196471
3782,-94.82664929,29.29219237,2,51.62228809,2.6401596,78,3.0216294,0.94446112,0.47432316,234.74088,44.458686,4.7367572
3783,-94.8269368,29.2930317,2,68.15672554,2.7152669,78,3.0590732,0.96998387,0.48934221,232.54689,44.186655,4.7316141
3784,-94.82725627,29.29391868,2,50.75022142,2.764,78,3.2133264,1.0046391,0.4768748,233.70845,37.720548,4.7477908
3788,-94.82754063,29.29477246,2,44.31373723,2.8196078,24.867205,3.5515773,1.0869657,0.46732112,238.94894,38.323533,4.7758964
3792,-94.82786136,29.29564608,2,58.16938489,3.911407,79,3.4396726,1.25403,0.57839615,233.66283,47.403186,4.7791543
