OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
44,-94.9193493,29.22513884,five,20,1,Very Stiff,0,53.08658084,3.3712554,20.141653,12.196742,1.4489651,1.1623063,134.94833,46.724038,5.252259
45,-94.91922669,29.22537846,five,20,1,Very Stiff,0,10.10180436,3.4075055,38.432975,12.398609,1.4457907,1.2360169,136.29552,46.74112,5.2419425
46,-94.91904582,29.22533751,five,20,1,Very Stiff,0,44.33915613,3.4075055,38.432975,12.398609,1.4457907,1.2360169,136.29552,46.74112,5.2419425
47,-94.91891989,29.22556768,five,20,1,Very Stiff,0,10.21104627,3.7217149,22.652281,8.667937,1.4457907,1.3252827,192.92758,47.666754,5.2788102
48,-94.91873708,29.22552273,five,20,1,Very Stiff,0,41.43485775,3.7217149,22.652281,8.667937,1.4457907,1.3252827,192.92758,47.666754,5.2788102
49,-94.91859202,29.22596149,five,20,1,Very Stiff,0,5.779367204,3.7217149,22.652281,8.667937,1.4457907,1.3252827,192.92758,47.666754,5.2788102
50,-94.91848885,29.22586727,five,20,1,Very Stiff,0,22.82911958,3.7217149,22.652281,8.667937,1.4457907,1.3252827,192.92758,47.666754,5.2788102
51,-94.91860307,29.22623882,five,20,1,Very Stiff,0,5.774362918,3.9674904,59.777845,6.4272228,1.4959405,1.3837887,184.27979,47.604251,5.2507327
52,-94.91843836,29.22613136,five,20,1,Very Stiff,0,6.82751597,3.7217149,22.652281,8.667937,1.4457907,1.3252827,192.92758,47.666754,5.2788102
53,-94.91850076,29.22641383,five,20,1,Very Stiff,0,13.87896986,3.9674904,59.777845,6.4272228,1.4959405,1.3837887,184.27979,47.604251,5.2507327
54,-94.91873109,29.22660722,five,20,1,Very Stiff,0,8.869664887,3.9674904,59.777845,6.4272228,1.4959405,1.3837887,184.27979,47.604251,5.2507327
55,-94.91857285,29.22676713,five,20,1,Very Stiff,0,13.23658004,3.9674904,59.777845,6.4272228,1.4959405,1.3837887,184.27979,47.604251,5.2507327
56,-94.92059037,29.22501607,five,20,1,Very Stiff,0,42.96321032,3.2097002,24.466471,12.091906,1.399203,1.1839456,130.47223,46.662514,5.2370972
57,-94.92090132,29.22495006,five,20,1,Very Stiff,0,42.63893356,3.2097002,24.466471,12.091906,1.399203,1.1839456,130.47223,46.662514,5.2370972
58,-94.92091004,29.22530557,five,20,1,Very Stiff,0,59.20469266,3.6440678,79.57355,12.233372,1.4702898,1.1732585,133.87323,46.903954,5.237671
59,-94.92073333,29.22543231,five,20,1,Very Stiff,0,37.00473042,3.6440678,79.57355,12.233372,1.4702898,1.1732585,133.87323,46.903954,5.237671
60,-94.92125992,29.2252725,five,20,1,Very Stiff,0,40.559385,3.3990956,65.731908,12.074195,1.4894986,1.3095164,130.07057,46.705794,5.2403079
61,-94.92091493,29.22547683,five,20,1,Very Stiff,0,10.14314838,3.6440678,79.57355,12.233372,1.4702898,1.1732585,133.87323,46.903954,5.237671
62,-94.92062082,29.22566291,five,20,1,Very Stiff,0,10.67172488,3.6440678,79.57355,12.233372,1.4702898,1.1732585,133.87323,46.903954,5.237671
63,-94.92042976,29.22561682,five,20,1,Very Stiff,0,45.20169206,3.6440678,79.57355,12.233372,1.4702898,1.1732585,133.87323,46.903954,5.237671
64,-94.92029842,29.22586463,five,20,1,Very Stiff,0,10.20169511,3.6440678,79.57355,12.233372,1.4702898,1.1732585,133.87323,46.903954,5.237671
65,-94.92011581,29.22580393,five,20,1,Very Stiff,0,36.94394313,3.6440678,79.57355,12.233372,1.4702898,1.1732585,133.87323,46.903954,5.237671
66,-94.91995156,29.22591497,five,20,1,Very Stiff,0,20.37423561,3.4075055,38.432975,12.398609,1.4457907,1.2360169,136.29552,46.74112,5.2419425
67,-94.91998218,29.22604234,five,20,1,Very Stiff,0,1.815495028,3.4075055,38.432975,12.398609,1.4457907,1.2360169,136.29552,46.74112,5.2419425
