OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
10,-94.8089769,29.28371394,four,40,1,Very Stiff,0,4.859425779,0.71772591,28.145096,0.9200351,0.21808865,0.13788709,51.886023,37.230496,1.7331728
11,-94.91827194,29.22275108,five,20,1,Very Stiff,0,45.44791898,2.1772383,15.939236,15.253691,0.86356809,0.75410756,204.99205,41.286449,3.9122507
12,-95.06629966,29.12499772,five,25,1,Very Stiff,0,31.43849358,1.238582,11.443037,16.293698,0.69310499,0.9108065,141.1691,44.567842,3.0678563
13,-94.91849422,29.22300584,five,20,1,Very Stiff,0,26.43765561,2.1772383,15.939236,15.253691,0.86356809,0.75410756,204.99205,41.286449,3.9122507
14,-94.91874305,29.22329632,five,20,1,Very Stiff,0,46.98701481,2.1772383,15.939236,15.253691,0.86356809,0.75410756,204.99205,41.286449,3.9122507
15,-94.91911512,29.22371298,five,20,1,Very Stiff,0,39.27955518,1.967652,14.541488,14.473162,0.80426552,0.70302065,194.86392,40.919443,3.912585
16,-94.9194438,29.22400208,five,20,1,Very Stiff,0,51.98340141,1.967652,14.541488,14.473162,0.80426552,0.70302065,194.86392,40.919443,3.912585
17,-94.91983777,29.2243574,five,20,1,Very Stiff,0,41.56988265,2.031701,15.475915,6.0602729,0.82262887,0.67042214,213.85682,41.122045,3.9127045
18,-94.92010483,29.22483518,five,20,1,Very Stiff,0,7.780913383,1.8620771,19.836235,12.292881,0.76938004,0.75559764,182.09326,40.620687,3.8894742
19,-94.91987187,29.22404684,five,20,1,Very Stiff,0,23.18732538,1.967652,14.541488,14.473162,0.80426552,0.70302065,194.86392,40.919443,3.912585
20,-94.92024275,29.22437733,five,20,1,Very Stiff,0,35.09606811,1.8620771,19.836235,12.292881,0.76938004,0.75559764,182.09326,40.620687,3.8894742
21,-94.9179311,29.22271882,five,20,1,Very Stiff,0,38.060045,2.5074593,51.967993,3.1577459,1.0072644,0.56182375,228.61143,45.156849,3.9501332
22,-94.91759134,29.22301469,five,20,1,Very Stiff,0,38.11014552,2.5074593,51.967993,3.1577459,1.0072644,0.56182375,228.61143,45.156849,3.9501332
23,-94.91725053,29.22330935,five,20,1,Very Stiff,0,32.73734392,2.5074593,51.967993,3.1577459,1.0072644,0.56182375,228.61143,45.156849,3.9501332
24,-94.92049862,29.22459034,five,20,1,Very Stiff,0,36.87906695,1.8620771,19.836235,12.292881,0.76938004,0.75559764,182.09326,40.620687,3.8894742
25,-94.91700785,29.22365621,five,20,1,Very Stiff,0,22.57077803,3.5574202,79,3.1060975,1.166115,0.538471,226.56495,47.846424,3.9551923
26,-94.91725092,29.22383327,five,20,1,Very Stiff,0,14.67621187,2.7071212,79,8.032069,1.0330986,0.55743225,225.93966,46.751777,3.9435278
27,-94.9174267,29.2239761,five,20,1,Very Stiff,0,9.839807528,2.7071212,79,8.032069,1.0330986,0.55743225,225.93966,46.751777,3.9435278
28,-94.91724612,29.22412535,five,20,1,Very Stiff,0,4.57678337,2.7071212,79,8.032069,1.0330986,0.55743225,225.93966,46.751777,3.9435278
29,-94.91716518,29.22397526,five,20,1,Very Stiff,0,18.33065187,2.7071212,79,8.032069,1.0330986,0.55743225,225.93966,46.751777,3.9435278
30,-94.9185275,29.22364073,five,20,1,Very Stiff,0,23.94032171,1.967652,14.541488,14.473162,0.80426552,0.70302065,194.86392,40.919443,3.912585
31,-94.91831649,29.22372748,five,20,1,Very Stiff,0,11.79103153,1.967652,14.541488,14.473162,0.80426552,0.70302065,194.86392,40.919443,3.912585
32,-94.919238,29.22413629,five,20,1,Very Stiff,0,28.4875419,1.967652,14.541488,14.473162,0.80426552,0.70302065,194.86392,40.919443,3.912585
33,-94.91893442,29.22432618,five,20,1,Very Stiff,0,42.14890993,1.967652,14.541488,14.473162,0.80426552,0.70302065,194.86392,40.919443,3.912585
34,-94.91907637,29.22439814,five,20,1,Very Stiff,0,7.934475029,2.031701,15.475915,6.0602729,0.82262887,0.67042214,213.85682,41.122045,3.9127045
35,-94.91876776,29.22458173,five,20,1,Very Stiff,0,7.907952374,2.7106135,75.9175,11.333162,0.99342197,0.58388544,224.80111,45.411591,3.9366283
36,-94.91862623,29.2245279,five,20,1,Very Stiff,0,43.03039978,2.7106135,75.9175,11.333162,0.99342197,0.58388544,224.80111,45.411591,3.9366283
37,-94.91846011,29.22479071,five,20,1,Very Stiff,0,8.594006149,2.7106135,75.9175,11.333162,0.99342197,0.58388544,224.80111,45.411591,3.9366283
38,-94.91830636,29.22471452,five,20,1,Very Stiff,0,37.32694088,2.7106135,75.9175,11.333162,0.99342197,0.58388544,224.80111,45.411591,3.9366283
39,-94.91811241,29.2248435,five,20,1,Very Stiff,0,10.84804678,2.7106135,75.9175,11.333162,0.99342197,0.58388544,224.80111,45.411591,3.9366283
