OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
7970,-95.0492949,29.1447197,five,25,1,Very Stiff,0,6.466152459,1.6178082,35.368374,4.0915169,0.68347511,0.34833222,328.08397,32.600703,2.5854456
7971,-95.04961509,29.14453784,five,25,1,Very Stiff,0,6.04638047,1.611586,35.036327,4.0639968,0.66956237,0.31634222,330.87027,32.607613,2.6016202
7972,-95.04886471,29.1448056,five,25,1,Very Stiff,0,38.60141954,1.6178082,35.368374,4.0915169,0.68347511,0.34833222,328.08397,32.600703,2.5854456
7973,-95.04897497,29.1449023,five,25,1,Very Stiff,0,6.175288831,1.6178082,35.368374,4.0915169,0.68347511,0.34833222,328.08397,32.600703,2.5854456
7974,-95.04865956,29.14509055,five,25,1,Very Stiff,0,22.70970854,1.7626103,74.535593,4.0378689,0.71915473,0.36471145,329.89662,32.598576,2.6052685
7975,-95.04859966,29.14497555,five,25,1,Very Stiff,0,18.21786147,1.7626103,74.535593,4.0378689,0.71915473,0.36471145,329.89662,32.598576,2.6052685
7976,-95.04831421,29.14531414,five,25,1,Very Stiff,0,34.66122025,1.7626103,74.535593,4.0378689,0.71915473,0.36471145,329.89662,32.598576,2.6052685
7977,-95.04803978,29.14547197,five,25,1,Very Stiff,0,32.9476052,1.7626103,74.535593,4.0378689,0.71915473,0.36471145,329.89662,32.598576,2.6052685
7978,-95.04772503,29.14566915,five,25,1,Very Stiff,0,34.60953323,1.9717245,56.256771,4.0016899,0.78989014,0.3947027,327.20202,32.587829,2.6080661
7979,-95.04742087,29.14584169,five,25,1,Very Stiff,0,17.00626551,1.9717245,56.256771,4.0016899,0.78989014,0.3947027,327.20202,32.587829,2.6080661
7980,-95.05144538,29.14357721,five,25,1,Very Stiff,0,20.000801,1.5193754,30.797651,3.865144,0.63358427,0.31669632,331.73708,32.615962,2.6038605
7981,-95.05101584,29.14300763,five,25,1,Very Stiff,0,34.86705994,1.5193754,30.797651,3.865144,0.63358427,0.31669632,331.73708,32.615962,2.6038605
7982,-95.05162906,29.14379387,five,25,1,Very Stiff,0,29.66273857,1.5467678,33.427957,4.0934638,0.65336353,0.32318556,328.5126,32.610008,2.5834947
7983,-95.05197342,29.1442326,five,25,1,Very Stiff,0,68.09453828,1.4617689,31.33008,4.1170441,0.64053569,0.33400389,326.46455,32.61265,2.5667832
7984,-95.05173576,29.14422694,five,25,1,Very Stiff,0,4.204249032,1.5467678,33.427957,4.0934638,0.65336353,0.32318556,328.5126,32.610008,2.5834947
7985,-95.05181048,29.14433192,five,25,1,Very Stiff,0,21.80162657,1.5467678,33.427957,4.0934638,0.65336353,0.32318556,328.5126,32.610008,2.5834947
7986,-95.05156985,29.14432039,five,25,1,Very Stiff,0,4.997920794,1.5467678,33.427957,4.0934638,0.65336353,0.32318556,328.5126,32.610008,2.5834947
7987,-95.05165879,29.14443377,five,25,1,Very Stiff,0,31.61217033,1.5467678,33.427957,4.0934638,0.65336353,0.32318556,328.5126,32.610008,2.5834947
7988,-95.05133466,29.14464119,five,25,1,Very Stiff,0,39.81672689,1.5362789,33.43112,4.1270193,0.68118621,0.35329032,325.63868,32.603208,2.5647127
7989,-95.05125064,29.14455042,five,25,1,Very Stiff,0,4.712971329,1.5467678,33.427957,4.0934638,0.65336353,0.32318556,328.5126,32.610008,2.5834947
7990,-95.05103101,29.14479901,five,25,1,Very Stiff,0,30.04011979,1.5362789,33.43112,4.1270193,0.68118621,0.35329032,325.63868,32.603208,2.5647127
7991,-95.05079704,29.144779,five,25,1,Very Stiff,0,21.06414134,1.5362789,33.43112,4.1270193,0.68118621,0.35329032,325.63868,32.603208,2.5647127
7992,-95.05065423,29.14490449,five,25,1,Very Stiff,0,26.00293744,1.5362789,33.43112,4.1270193,0.68118621,0.35329032,325.63868,32.603208,2.5647127
7993,-95.05033215,29.14506936,five,25,1,Very Stiff,0,39.74152204,1.5362789,33.43112,4.1270193,0.68118621,0.35329032,325.63868,32.603208,2.5647127
7994,-95.05040647,29.14518177,five,25,1,Very Stiff,0,4.186584232,1.5362789,33.43112,4.1270193,0.68118621,0.35329032,325.63868,32.603208,2.5647127
7995,-95.05010476,29.14536443,five,25,1,Very Stiff,0,4.85940679,1.5362789,33.43112,4.1270193,0.68118621,0.35329032,325.63868,32.603208,2.5647127
7996,-95.05001828,29.14525409,five,25,1,Very Stiff,0,39.8778376,1.5362789,33.43112,4.1270193,0.68118621,0.35329032,325.63868,32.603208,2.5647127
7997,-95.04970592,29.14544135,five,25,1,Very Stiff,0,39.13933861,1.6178082,35.368374,4.0915169,0.68347511,0.34833222,328.08397,32.600703,2.5854456
7998,-95.04978491,29.14557651,five,25,1,Very Stiff,0,4.460950617,1.5200231,33.274826,4.1221049,0.6923529,0.39902921,322.7047,32.591974,2.565029
7999,-95.04948163,29.14573956,five,25,1,Very Stiff,0,4.693408748,1.5200231,33.274826,4.1221049,0.6923529,0.39902921,322.7047,32.591974,2.565029
8000,-95.04939815,29.14562817,five,25,1,Very Stiff,0,39.57626917,1.5200231,33.274826,4.1221049,0.6923529,0.39902921,322.7047,32.591974,2.565029
8001,-95.04916299,29.14594741,five,25,1,Very Stiff,0,4.557507726,1.5200231,33.274826,4.1221049,0.6923529,0.39902921,322.7047,32.591974,2.565029
8002,-95.04908214,29.14582058,five,25,1,Very Stiff,0,39.90354492,1.5200231,33.274826,4.1221049,0.6923529,0.39902921,322.7047,32.591974,2.565029
8003,-95.04876624,29.14604058,five,25,1,Very Stiff,0,39.04216637,1.6421817,36.23761,4.062079,0.70674119,0.39483782,326.33016,32.589767,2.5864344
8004,-95.04884751,29.14614814,five,25,1,Very Stiff,0,4.568714482,1.5200231,33.274826,4.1221049,0.6923529,0.39902921,322.7047,32.591974,2.565029
8005,-95.04854408,29.14630753,five,25,1,Very Stiff,0,4.397412168,1.6421817,36.23761,4.062079,0.70674119,0.39483782,326.33016,32.589767,2.5864344
8006,-95.04846578,29.14621175,five,25,1,Very Stiff,0,38.78662512,1.6421817,36.23761,4.062079,0.70674119,0.39483782,326.33016,32.589767,2.5864344
8007,-95.04824229,29.1464839,five,25,1,Very Stiff,0,5.114489616,1.7662713,41.429687,4.0704869,0.78796929,0.47103632,323.4527,32.895959,2.5658789
8008,-95.04815115,29.14638122,five,25,1,Very Stiff,0,22.70412707,1.6421817,36.23761,4.062079,0.70674119,0.39483782,326.33016,32.589767,2.5864344
8009,-95.05223888,29.14456797,five,25,1,Very Stiff,0,39.44361438,1.4617689,31.33008,4.1170441,0.64053569,0.33400389,326.46455,32.61265,2.5667832
8010,-95.05267673,29.1449638,five,25,1,Very Stiff,0,62.95490257,1.589213,35.845345,4.1464233,0.72494804,0.39364329,323.41438,32.838099,2.544245
8011,-95.05233749,29.14498744,five,25,1,Very Stiff,0,0.805700929,1.589213,35.845345,4.1464233,0.72494804,0.39364329,323.41438,32.838099,2.544245
