OBJECTID,LON,LAT,TYPE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
10446,-94.87045821,29.28926788,3,146.029603,3.1264595,7.9280828,4.48703,1.2037856,1.0636847,170.16986,46.655763,5.4402805
10447,-94.87171319,29.28998686,3,145.692017,1.8051608,6.6258623,5.0533683,1.2852078,1.1120116,213.75268,46.140376,5.4547477
10448,-94.87306452,29.29064859,3,154.65873,1.8051608,6.6258623,5.0533683,1.5958421,1.1120116,213.75268,46.140376,5.4547477
10449,-94.87448079,29.29119205,3,158.4593191,3.9243951,19.327815,4.0790509,1.0875213,1.2881381,130.51965,48.533642,5.4616857
10450,-94.8759006,29.29173736,3,154.3826482,3.8662526,15.652272,4.304809,1.029272,1.4289625,141.2221,48.533096,5.4769495
10451,-94.87724347,29.29239235,3,151.7052371,0.87018123,3.476178,5.3224134,2.0172876,1.8807263,235.04081,48.536323,5.4976862
10452,-94.87861492,29.29305656,3,152.2907933,-0.01,0,5.5247031,2.2193294,3.0940944,228.27936,48.529413,5.5070704
10453,-94.87996829,29.2937116,3,151.0900278,-0.01,0,5.5532138,2.340433,2.8830629,217.51568,48.531142,5.5186382
10454,-94.88131822,29.29437726,3,150.2885289,-0.01,0,5.5415777,2.4121899,2.8850528,206.95687,48.535172,5.5266758
10455,-94.88265724,29.29502627,3,149.0079226,-0.01,0,5.4964264,2.449953,2.6655321,206.24852,48.536347,5.5446811
10456,-94.88398425,29.29567933,3,149.5155076,-0.01,0,5.4605868,2.4313999,3.0063527,200.65165,48.534996,5.552028
10457,-94.8853324,29.29632018,3,151.2781526,-0.01,0,5.5347859,2.5289125,2.710641,198.449,48.538715,5.5614367
10458,-94.88669093,29.29699351,3,149.8839306,-0.01,0,4.8609366,2.3628088,2.7266441,147.6809,48.542244,5.5784371
10459,-94.888014,29.29765841,3,149.6094427,-0.01,0,4.7536536,2.408463,2.5294363,144.50173,48.546922,5.5972139
10460,-94.88936762,29.29833069,3,151.0982794,-0.01,0,5.2071635,2.3860183,2.3151316,178.71312,48.546651,5.6006838
10461,-94.89071742,29.29898354,3,151.3909291,-0.01,0,5.3237194,2.4322373,2.3118935,178.35973,48.552734,5.6115396
10462,-94.8920763,29.29964984,3,151.5585966,-0.01,0,5.3601139,2.4575767,2.3801429,179.08251,48.556203,5.6245482
10463,-94.89342908,29.30030852,3,150.3143546,-0.01,0,5.3628998,2.4840664,2.4104744,178.30798,48.554752,5.630324
10464,-94.89476568,29.30096991,3,150.4237672,-0.01,0,5.3764209,2.4614168,2.4778977,172.97546,48.543364,5.64786
10465,-94.89612042,29.30162836,3,150.9104031,-0.01,0,5.1890092,2.4451439,2.4287718,156.12484,48.508429,5.6687209
10466,-94.89746572,29.30229671,3,149.8950001,-0.01,0,5.0450795,2.3923157,2.3636239,143.40251,48.49196,5.6820699
10467,-94.89880229,29.30294757,3,150.4523329,0.57330883,2.3000402,5.1153065,2.3558544,1.8809301,145.56072,48.494809,5.7109483
10468,-94.90015763,29.30359847,3,82.95862213,1.5460058,5.902797,5.2593051,0.99163098,0.82877678,158.25609,48.476541,5.7302321
10555,-94.86910101,29.28855429,3,144.1841941,2.9415712,16.088624,5.0390253,1.156729,1.08406,226.81372,45.947979,5.4200717
10558,-94.86787864,29.28796185,3,112.0152956,1.6892875,7.7667047,4.6172098,1.3804506,0.80188708,165.28461,40.955659,5.4068383
10561,-94.86709686,29.2875702,3,96.85476558,3.1282519,15.406618,4.8667539,1.2772402,0.82168201,197.45143,42.257646,5.38774
10570,-94.86438791,29.28803798,3,305.6383934,3.0253279,15.667717,4.6681436,1.1440168,0.50838968,172.91867,42.448334,5.3705843
10571,-94.8644067,29.28816055,3,155.1309341,3.0253279,15.667717,4.6681436,1.1440168,0.50838968,172.91867,42.448334,5.3705843
10572,-94.86311066,29.28827627,3,311.4139228,2.7152041,13.035099,4.594193,1.2457522,0.37164112,159.18029,40.372935,5.3686502
10573,-94.86311304,29.2884163,3,158.4225341,2.7152041,13.035099,4.594193,1.2457522,0.37164112,159.18029,40.372935,5.3686502
10574,-94.8616001,29.28790379,3,346.7849395,3.1171943,38.54909,4.5749963,1.4135906,0.34292862,161.02608,41.031796,5.365014
10575,-94.86157027,29.28804387,3,170.9224148,3.1171943,38.54909,4.5749963,1.4135906,0.34292862,161.02608,41.031796,5.365014
10576,-94.86000601,29.28780631,3,257.6213208,3.9909564,79,4.4415627,1.4296891,0.52392786,141.46029,42.513052,5.341134
10577,-94.86005262,29.28793974,3,158.4982162,3.9909564,79,4.4415627,1.4296891,0.52392786,141.46029,42.513052,5.341134
10578,-94.85869083,29.28808576,3,146.7227474,3.5858274,67.849838,4.4583745,1.3866024,0.5950723,138.0608,41.95388,5.3366856
10579,-94.85873221,29.28820761,3,147.2582254,3.5858274,67.849838,4.4583745,1.3866024,0.5950723,138.0608,41.95388,5.3366856
10588,-94.85737898,29.28833996,3,146.7567596,3.1267326,36.058059,4.4584107,1.2712049,0.60245309,135.78753,20.868391,5.3372714
10589,-94.85741604,29.28849798,3,146.4996234,3.415895,79.669709,4.4077147,1.2712049,0.49398115,138.97572,5.6668223,5.3372646
10590,-94.85606319,29.28861234,3,147.038243,3.2612697,27.258403,4.3124628,1.3182511,0.7491948,139.28546,22.28342,5.3359698
10591,-94.85610919,29.28874955,3,147.2315491,3.2612697,27.258403,4.3124628,1.3182511,0.7491948,139.28546,22.28342,5.3359698
10592,-94.8547463,29.28887497,3,146.9746372,3.4435079,38.723057,4.3382089,1.4377762,0.88200309,134.8357,42.193784,5.3254133
10593,-94.85477988,29.28902104,3,147.5730872,3.4435079,38.723057,4.3382089,1.4377762,0.88200309,134.8357,42.193784,5.3254133
10595,-94.85343164,29.28914009,3,220.1551304,3.4435079,38.723057,4.3382089,1.4377762,0.88200309,134.8357,42.193784,5.3254133
10596,-94.85080447,29.28966687,3,230.1108701,3.9822971,79.513987,3.9743133,1.28863,0.4253766,192.80252,43.253201,5.3085883
10597,-94.85082713,29.28981056,3,230.2300063,3.9822971,79.513987,3.9743133,1.28863,0.4253766,192.80252,43.253201,5.3085883
10599,-94.84934473,29.29011938,3,164.8552948,3.6335235,47.992432,4.0731728,1.2672045,0.29069566,191.6088,42.532323,5.3009932
10600,-94.84785572,29.29027672,3,164.6833576,3.7496039,47.274839,4.1268667,1.4387715,0.82975163,129.72358,42.306933,5.2892788
10601,-94.84787545,29.29041809,3,165.0089629,4.5092029,80.009268,3.9512723,1.4387715,0.59239223,146.90881,43.329086,5.2974069
10602,-94.84636296,29.29057774,3,166.405857,3.8942111,71.570183,3.9456947,1.3891063,0.76496775,140.56371,43.352867,5.2913092
10603,-94.84639028,29.29071245,3,166.28374,3.8942111,71.570183,3.9456947,1.3891063,0.76496775,140.56371,43.352867,5.2913092
10604,-94.84487627,29.29088329,3,165.5868203,3.7622309,44.117846,3.9693945,1.353247,0.79907047,128.36797,41.818359,5.2774847
10605,-94.84489817,29.29101177,3,166.0578973,3.7622309,44.117846,3.9693945,1.353247,0.79907047,128.36797,41.818359,5.2774847
10606,-94.84339818,29.29117968,3,165.6412136,2.9430473,19.655246,3.9546147,1.1129025,0.59422761,162.47326,40.206842,5.2711291
10607,-94.84341705,29.29131041,3,165.1569208,4.4316501,64.583234,3.6392561,1.3201697,0.55259457,197.21653,41.913562,5.2806928
10608,-94.84191052,29.29149285,3,166.8046231,3.6943247,70.829303,3.5690712,1.226925,0.31399492,187.14044,42.094876,5.2716339
10609,-94.84194109,29.29161689,3,165.5064022,3.6943247,70.829303,3.5690712,1.226925,0.31399492,187.14044,42.094876,5.2716339
10610,-94.84041175,29.29188505,3,167.9034833,3.2314271,40.539745,3.6286782,1.2053806,0.29171418,152.83114,41.003849,5.2726745
10611,-94.84045387,29.29201255,3,166.2076262,3.2314271,40.539745,3.6286782,1.2053806,0.29171418,152.83114,41.003849,5.2726745
10612,-94.83890451,29.29225647,3,167.3452235,4.348999,80,3.5389185,1.4681028,0.43576709,134.74873,42.361793,5.2810644
10613,-94.83896547,29.29239305,3,166.9882378,4.5685815,80.40528,3.5909145,1.4629618,0.40117252,138.5349,42.497602,5.283978
10614,-94.83741576,29.29266306,3,166.9468653,4.3093969,79.774559,3.4985668,1.425987,0.50250272,132.13704,41.609203,5.2784345
10615,-94.83746431,29.29280691,3,164.9132396,4.3093969,79.774559,3.4985668,1.425987,0.50250272,132.13704,41.609203,5.2784345
10616,-94.8359157,29.29306317,3,188.9856645,4.2103335,79.588987,3.4568667,1.3434987,0.58121039,131.36487,41.834282,5.2744492
