OBJECTID,LON,LAT,TYPE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
10592,-94.8547463,29.28887497,3,146.9746372,1.8874496,29.679432,3.7819683,0.67432589,0.60577718,63.462286,27.326825,3.769355
10593,-94.85477988,29.28902104,3,147.5730872,1.8874496,29.679432,3.7819683,0.67432589,0.60577718,63.462286,27.326825,3.769355
10595,-94.85343164,29.28914009,3,220.1551304,1.8874496,29.679432,3.7819683,0.67432589,0.60577718,63.462286,27.326825,3.769355
10596,-94.85080447,29.28966687,3,230.1108701,2.4137872,81.360064,3.121723,0.6775751,0.24353444,176.90649,29.356994,3.7400783
10597,-94.85082713,29.28981056,3,230.2300063,2.4137872,81.360064,3.121723,0.6775751,0.24353444,176.90649,29.356994,3.7400783
10599,-94.84934473,29.29011938,3,164.8552948,2.0709046,46.580539,3.8551701,0.63630747,0.16770437,255.76794,28.118714,3.7383747
10600,-94.84785572,29.29027672,3,164.6833576,2.2141884,46.549084,3.686168,0.67494841,0.57225673,42.27135,28.527976,3.753863
10601,-94.84787545,29.29041809,3,165.0089629,2.9632218,83.009268,3.0929239,0.73336167,0.36640877,52.828233,31.52327,3.7514252
10602,-94.84636296,29.29057774,3,166.405857,2.5218559,73.600844,3.4004983,0.76557785,0.48328298,50.738983,29.260744,3.7526096
10603,-94.84639028,29.29071245,3,166.28374,2.5218559,73.600844,3.4004983,0.76557785,0.48328298,50.738983,29.260744,3.7526096
10604,-94.84487627,29.29088329,3,165.5868203,2.2448015,41.897487,3.5875806,0.70518001,0.49950181,36.906592,28.485243,3.7600553
10605,-94.84489817,29.29101177,3,166.0578973,2.2448015,41.897487,3.5875806,0.70518001,0.49950181,36.906592,28.485243,3.7600553
10606,-94.84339818,29.29117968,3,165.6412136,1.4370052,14.784027,3.540052,0.56342702,0.31393735,25.384426,26.267784,3.765087
10607,-94.84341705,29.29131041,3,165.1569208,2.9161352,65.33606,3.5317966,0.7268371,0.25643153,35.569671,30.152811,3.7651779
10608,-94.84191052,29.29149285,3,166.8046231,2.1929808,71.918876,4.1510265,0.65446949,0.10450457,265.55162,26.251033,3.7702901
10609,-94.84194109,29.29161689,3,165.5064022,2.1929808,71.918876,4.1510265,0.65446949,0.10450457,265.55162,26.251033,3.7702901
10610,-94.84041175,29.29188505,3,167.9034833,1.7321861,38.875237,4.2266578,0.54996267,0.11750398,270.74587,25.732403,3.7734334
10611,-94.84045387,29.29201255,3,166.2076262,1.7321861,38.875237,4.2266578,0.54996267,0.11750398,270.74587,25.732403,3.7734334
10612,-94.83890451,29.29225647,3,167.3452235,2.856162,83,2.6475259,0.73169406,0.21068495,46.689494,26.646075,3.7882274
10613,-94.83896547,29.29239305,3,166.9882378,3.0712649,83,2.6707774,0.72302131,0.19762674,48.957254,27.525272,3.7866613
10614,-94.83741576,29.29266306,3,166.9468653,2.8192098,82.357602,2.702362,0.74772891,0.24332013,48.41774,26.264159,3.7882474
10615,-94.83746431,29.29280691,3,164.9132396,2.8192098,82.357602,2.702362,0.74772891,0.24332013,48.41774,26.264159,3.7882474
10616,-94.8359157,29.29306317,3,188.9856645,2.7229178,81.993723,2.8024294,0.73885999,0.28658212,45.643542,25.709053,3.7870336
10617,-94.83601307,29.29318547,3,177.7382189,2.7655239,82,2.8636762,0.76853283,0.2793798,47.186655,26.083439,3.7853279
10618,-94.83403375,29.29405196,3,188.6505052,3.0603056,82,2.8785461,0.70490777,0.30182378,41.518489,27.376343,3.7779363
10619,-94.83428373,29.29414675,3,172.0855514,3.0603056,82,2.8785461,0.70490777,0.30182378,41.518489,27.376343,3.7779363
