OBJECTID,LON,LAT,TYPE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
10446,-94.87045821,29.28926788,3,146.029603,2.311532,4.9184817,4.7194759,0.59171374,1.0476548,121.44225,46.080404,4.625353
10447,-94.87171319,29.28998686,3,145.692017,1.0102544,3.5075656,5.0903067,0.51255836,0.97736968,217.6421,47.477811,4.6598414
10448,-94.87306452,29.29064859,3,154.65873,1.0102544,3.5075656,5.0903067,0.51255836,0.97736968,217.6421,47.477811,4.6598414
10449,-94.87448079,29.29119205,3,158.4593191,3.0236427,17.107081,4.555502,0.90839125,1.2639733,37.041141,47.433832,4.5609332
10450,-94.8759006,29.29173736,3,154.3826482,2.9492427,15.506075,4.5708061,0.87116145,1.3852433,50.879456,47.391361,4.559939
10451,-94.87724347,29.29239235,3,151.7052371,0.35294459,1.738089,5.1940451,1.2447017,1.6694925,262.37231,47.328677,4.6165885
10452,-94.87861492,29.29305656,3,152.2907933,-0.01,0,5.4808106,2.065352,2.9552621,255.46049,47.265663,4.5330794
10453,-94.87996829,29.2937116,3,151.0900278,-0.01,0,5.4525276,2.1048527,2.751135,249.0954,47.224491,4.5395161
10454,-94.88131822,29.29437726,3,150.2885289,-0.01,0,5.4467083,2.1079747,2.7281739,248.96534,47.203908,4.5591129
10455,-94.88265724,29.29502627,3,149.0079226,-0.01,0,5.231083,2.1707481,2.5904918,257.19303,47.142792,4.5546947
10456,-94.88398425,29.29567933,3,149.5155076,-0.01,0,5.2748013,1.9970325,2.9648585,250.5974,47.122767,4.5513488
10457,-94.8853324,29.29632018,3,151.2781526,-0.01,0,5.1603525,2.1172981,2.6310849,238.68885,47.082519,4.5555758
10458,-94.88669093,29.29699351,3,149.8839306,-0.01,0,4.7468976,1.743345,2.7143151,99.978468,47.023145,4.5521988
10459,-94.888014,29.29765841,3,149.6094427,-0.01,0,5.4530185,1.9299205,2.5102252,225.96534,46.964504,4.5472693
10460,-94.88936762,29.29833069,3,151.0982794,-0.01,0,5.3725263,2.0062393,2.26333,225.21105,46.945765,4.5346571
10461,-94.89071742,29.29898354,3,151.3909291,-0.01,0,5.4283513,1.9974111,2.2200015,224.09616,46.906817,4.5341173
10462,-94.8920763,29.29964984,3,151.5585966,-0.01,0,5.5451841,1.9825251,2.2913578,227.05996,46.867474,4.5373119
10463,-94.89342908,29.30030852,3,150.3143546,-0.01,0,5.5413058,1.9864928,2.3264537,225.62856,46.848984,4.5291616
10464,-94.89476568,29.30096991,3,150.4237672,-0.01,0,5.6351332,1.9070611,2.3704382,219.09936,46.789653,4.5241681
10465,-94.89612042,29.30162836,3,150.9104031,-0.01,0,5.5657927,1.8552842,2.2967209,214.16218,46.723154,4.5448418
10466,-94.89746572,29.30229671,3,149.8950001,-0.01,0,5.3982628,1.7986152,2.2086902,210.86862,46.681308,4.5515557
10467,-94.89880229,29.30294757,3,150.4523329,-0.00539992,0,2.8755868,0.9085408,1.4621146,110.91552,43.841541,2.4488787
10468,-94.90015763,29.30359847,3,82.95862213,0.34730896,2.1488844,4.1615863,0.25057156,0.68770933,122.75424,40.127136,3.6107149
10555,-94.86910101,29.28855429,3,144.1841941,2.1868017,11.573566,5.1789232,1.0739286,0.98025915,256.70786,45.456953,4.6653021
10558,-94.86787864,29.28796185,3,112.0152956,0.91827706,4.0848028,5.2985392,0.62413017,0.80933521,263.31877,41.331938,4.6358272
10561,-94.86709686,29.2875702,3,96.85476558,2.4026418,11.535322,5.2315428,1.0020395,0.86382797,259.84795,45.221948,4.6621299
10570,-94.86438791,29.28803798,3,305.6383934,2.3017396,11.667717,5.2674799,0.98391615,0.57020391,268.03187,47.703963,4.6469959
10571,-94.8644067,29.28816055,3,155.1309341,2.3017396,11.667717,5.2674799,0.98391615,0.57020391,268.03187,47.703963,4.6469959
10572,-94.86311066,29.28827627,3,311.4139228,1.9816802,9.5922972,5.1768562,0.86064623,0.44056361,253.71197,44.29806,4.6351262
10573,-94.86311304,29.2884163,3,158.4225341,1.9816802,9.5922972,5.1768562,0.86064623,0.44056361,253.71197,44.29806,4.6351262
10574,-94.8616001,29.28790379,3,346.7849395,2.3752919,36.097519,4.3283923,0.93324462,0.41347059,246.89408,44.508111,4.6231116
10575,-94.86157027,29.28804387,3,170.9224148,2.3752919,36.097519,4.3283923,0.93324462,0.41347059,246.89408,44.508111,4.6231116
10576,-94.86000601,29.28780631,3,257.6213208,3.2621195,79,2.888903,1.0755605,0.64821052,234.27686,47.757491,4.6122971
10577,-94.86005262,29.28793974,3,158.4982162,3.2621195,79,2.888903,1.0755605,0.64821052,234.27686,47.757491,4.6122971
10578,-94.85869083,29.28808576,3,146.7227474,2.8533548,66.84839,3.3319321,0.9964267,0.69719903,238.35699,46.342051,4.604213
10579,-94.85873221,29.28820761,3,147.2582254,2.8533548,66.84839,3.3319321,0.9964267,0.69719903,238.35699,46.342051,4.604213
10588,-94.85737898,29.28833996,3,146.7567596,2.3751125,34.368872,5.2798142,0.83485498,0.69672597,244.46615,20.343037,4.5856513
10589,-94.85741604,29.28849798,3,146.4996234,2.6912243,79,4.8797513,0.87941345,0.57234696,244.41561,6.2107508,4.6125937
10590,-94.85606319,29.28861234,3,147.038243,2.5327472,23.72742,3.9133066,0.90842083,0.85465191,231.11909,25.123122,4.6074473
10591,-94.85610919,29.28874955,3,147.2315491,2.5327472,23.72742,3.9133066,0.90842083,0.85465191,231.11909,25.123122,4.6074473
10592,-94.8547463,29.28887497,3,146.9746372,2.7130316,40.120646,3.6262261,1.0030921,0.9821894,189.53246,47.952718,4.5949371
10593,-94.85477988,29.28902104,3,147.5730872,2.7130316,40.120646,3.6262261,1.0030921,0.9821894,189.53246,47.952718,4.5949371
10595,-94.85343164,29.28914009,3,220.1551304,2.7130316,40.120646,3.6262261,1.0030921,0.9821894,189.53246,47.952718,4.5949371
10596,-94.85080447,29.28966687,3,230.1108701,3.330385,79,3.482107,1.2055919,0.49852807,231.48487,48.009649,4.6566756
10597,-94.85082713,29.28981056,3,230.2300063,3.330385,79,3.482107,1.2055919,0.49852807,231.48487,48.009649,4.6566756
10599,-94.84934473,29.29011938,3,164.8552948,2.996752,45.468262,3.5516359,1.1520167,0.33114475,232.5257,48.028498,4.6642219
10600,-94.84785572,29.29027672,3,164.6833576,3.1006491,45.342404,3.7149271,1.1556117,0.95231316,233.9564,48.048535,4.6403236
10601,-94.84787545,29.29041809,3,165.0089629,3.8747858,79.009268,3.398173,1.3247006,0.70014084,228.56054,48.033658,4.6629892
10602,-94.84636296,29.29057774,3,166.405857,3.338536,70.67865,3.4540116,1.2825343,0.89729741,232.5579,48.047126,4.6679347
10603,-94.84639028,29.29071245,3,166.28374,3.338536,70.67865,3.4540116,1.2825343,0.89729741,232.5579,48.047126,4.6679347
10604,-94.84487627,29.29088329,3,165.5868203,3.1514299,41.71737,4.4080088,1.1582021,0.94774958,243.56751,48.074935,4.6666837
10605,-94.84489817,29.29101177,3,166.0578973,3.1514299,41.71737,4.4080088,1.1582021,0.94774958,243.56751,48.074935,4.6666837
