"guid","LS_0","LS_1","LS_2","DS_0","DS_1","DS_2","DS_3","haz_expose"
"78fdb62e-87e2-4f31-8aa4-95691cce1382","0.9999816254","0.0","0.0","0.0000183746","0","0","0.9999816254","yes"
"2b04718e-cb42-47da-bd4f-450b706665c0","0.9999816254","0.0","0.0","0.0000183746","0","0","0.9999816254","yes"
"9d7e3f71-f2f2-4280-baf1-6f9cffc8362f","0.0002592126","0.0","0.0","0.9997407874","0","0","0.0002592126","yes"
"1cc96097-7b88-40f7-b700-0049b782ce8b","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"0193e38c-124e-46a8-b1dd-d3d5e6331f55","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"37632774-ac52-4c37-ab7b-623cd03893ea","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"d76e7ba3-8634-418a-83d5-1cc35639c6c9","2.8e-09","0.0","0.0","0.9999999972","0","0","2.8E-9","yes"
"1613cf8e-e538-4e4f-9560-a2821d1d8547","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"72fb67ae-3a12-438e-af59-5a0d473303f4","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"d231ccaf-70eb-4a96-b461-fd767855e28a","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"106f4d34-7136-4233-98c0-e20433255eea","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"763052c9-2e51-4ddf-a8b0-fdb6071aed63","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"8f10ac31-525d-47e8-8dfd-86862651aef3","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"dc5b4029-0930-464f-8c39-afc1bfdd90b8","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"c179d72b-d5e2-42ec-b6ef-f15e15f73140","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"c478082c-117f-4e0b-8876-b2591e164a3b","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"d98e5f16-80e9-416d-9aab-edaaf3adb1b1","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"0a6cc502-d48e-4771-9ef0-b751affe8210","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"3f7702c2-0b84-431f-b813-5e46908508ef","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"88aeab9b-1545-44e3-9d40-f2e4e475a921","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"355a7fe7-9e9f-47ce-b930-6fe1d29ed091","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"7eee3717-23c8-40ea-b658-239a65168389","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"7b87469f-ab3f-41dc-b88a-28ae4c6961c3","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"dde18f85-e83e-4a96-9a7d-26c711340a90","1e-10","0.0","0.0","0.9999999999","0","0","1E-10","yes"
"b1506178-d27d-4033-89f7-ef8cd31ea8be","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"d98653a9-e1c6-4b27-bffb-e206499ebe0f","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"df2a420f-5e1b-4ed0-b222-d4096416e263","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"d68fde8a-062b-4831-bc7d-9c8721675a31","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"c39ddc84-3da4-4205-b59d-2c0afeb4d8b6","1e-10","0.0","0.0","0.9999999999","0","0","1E-10","yes"
"3556f492-7187-4846-a9a0-6897678788df","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"1505cfd4-00d0-4ac5-9d0e-09b7699c04f8","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"fb32711d-785d-443d-81e0-59bc7ed6cd0b","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"3b3e7c6c-8bf7-48ef-8896-a6ab5790858c","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"d4703fcf-de39-4d14-9e47-07804067078c","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"b16748f2-97f3-4cf0-9379-cf648cfc269f","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"519aa06e-e467-4095-9802-f8e56203febd","0.0","0.0","0.0","1.0","0","0","0.0","yes"
