,guid,geometry_x,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry_y,distance
2390,2ff1fc56-ebc2-430e-a1ae-d6b704ad8f79,POINT (-94.94778 29.19817),5634,-94.94780908,29.19741345,5,25,1,0,POINT (-94.94780908 29.19741345),7.943499077
2391,98bf0f0a-cbbe-426d-a4ea-f04b180fee73,POINT (-94.94788 29.19835),5634,-94.94780908,29.19741345,5,25,1,0,POINT (-94.94780908 29.19741345),11.95253517
2392,fd5f4389-52ce-4c8b-89af-e0ec879c0cef,POINT (-94.94804 29.19868),9573,-94.94789503,29.19962829,5,25,1,0,POINT (-94.94789503 29.19962829),18.50855035
2393,43ea0a4c-54c5-4982-aaed-53e87fd19686,POINT (-94.94812 29.19884),5277,-94.94821528,29.20008029,5,25,1,39.9606437,POINT (-94.94821528 29.20008029),15.92966853
2394,6ad04c30-c3b7-4b01-affc-0b5569082474,POINT (-94.94819 29.19901),5277,-94.94821528,29.20008029,5,25,1,39.9606437,POINT (-94.94821528 29.20008029),10.64321263
2395,ba2d001b-9a88-4af2-9591-9f6bb1f8a96f,POINT (-94.9473 29.20035),9574,-94.94724369,29.20013454,5,25,1,0,POINT (-94.94724369 29.20013454),6.59346642
2396,8ed2a728-7459-41ad-832d-49a21b18d99e,POINT (-94.94744 29.20021),5279,-94.94737769,29.20074611,5,25,1,48.99869212,POINT (-94.94737769 29.20074611),8.627605326
2397,0063f983-1316-4f0a-82b8-073276947fa8,POINT (-94.94761 29.20008),9575,-94.94745513,29.19879159,5,25,1,0,POINT (-94.94745513 29.19879159),21.19472459
2398,bb741fc4-c1ea-4e3f-b5f6-1bb517e287f5,POINT (-94.94778 29.19996),5278,-94.94783235,29.20037438,5,25,1,46.8831629,POINT (-94.94783235 29.20037438),7.04824724
2399,3806fd47-bb52-467f-8e18-6c57cbbff7e0,POINT (-94.94794 29.19985),9573,-94.94789503,29.19962829,5,25,1,0,POINT (-94.94789503 29.19962829),5.433748888
2400,8f6eeac9-1b63-497c-b371-6adbfe61e310,POINT (-94.9481 29.19973),5277,-94.94821528,29.20008029,5,25,1,39.9606437,POINT (-94.94821528 29.20008029),13.25150859
2401,3a54f92d-0cb8-440d-9929-b0ce70d89df8,POINT (-94.94569 29.20057),9566,-94.94569861,29.19968877,5,25,1,0,POINT (-94.94569861 29.19968877),8.501796303
2402,9b5e7d48-81ab-484e-b7ba-6bed15b75621,POINT (-94.94556 29.20037),9558,-94.9455289,29.20070634,5,25,1,21.58360611,POINT (-94.9455289 29.20070634),4.72800637
2403,8405c793-8845-416f-a98b-213a48a8a6bc,POINT (-94.94548 29.20018),9558,-94.9455289,29.20070634,5,25,1,21.58360611,POINT (-94.9455289 29.20070634),7.417697177
2404,4fb9fe34-4994-48c5-91ac-c9a991e8ba0c,POINT (-94.9454 29.20001),9559,-94.94541047,29.20046745,5,25,1,13.00582219,POINT (-94.94541047 29.20046745),4.536905573
2405,84380d02-746c-40bd-be14-31a0d87dc726,POINT (-94.94524 29.19968),9561,-94.94521621,29.20005614,5,25,1,15.15019641,POINT (-94.94521621 29.20005614),4.471799217
2406,8c168e13-34f3-4eef-97d5-1559df229e03,POINT (-94.94516 29.19952),9561,-94.94521621,29.20005614,5,25,1,15.15019641,POINT (-94.94521621 29.20005614),8.091712699
2407,845c60b7-0d2f-4fe1-b1ea-3c8aa6c901e2,POINT (-94.94508 29.19936),9564,-94.94506723,29.19884167,5,25,1,0,POINT (-94.94506723 29.19884167),5.167169787
2408,33e4d220-15d9-4ecd-aea6-3a9cf622705f,POINT (-94.94463 29.19845),9563,-94.94494284,29.19950947,5,25,1,5.07701226,POINT (-94.94494284 29.19950947),36.23803783
2409,f00f10aa-fdce-4e69-94cc-772758eecfd1,POINT (-94.94452 29.19814),5641,-94.94430077,29.20071163,5,25,1,0,POINT (-94.94430077 29.20071163),34.66519181
2410,8b1a4643-740a-4c1b-9bd9-09b666b73d10,POINT (-94.94507 29.19805),9564,-94.94506723,29.19884167,5,25,1,0,POINT (-94.94506723 29.19884167),7.594462012
2411,9f02ecff-1180-476c-81f4-fb6688de4805,POINT (-94.94535 29.19858),9565,-94.94524603,29.19921348,5,25,1,0,POINT (-94.94524603 29.19921348),13.05860844
2412,25e8e50c-62e0-42db-b776-47453e542f6a,POINT (-94.94584 29.19869),9567,-94.94586685,29.20001119,5,25,1,0,POINT (-94.94586685 29.20001119),13.0128321
2413,d1b484c4-eaa1-40a7-8471-19cd9c436254,POINT (-94.94571 29.19842),9566,-94.94569861,29.19968877,5,25,1,0,POINT (-94.94569861 29.19968877),12.22857332
2414,f1049da9-3d30-4a4d-b252-0f1675d49d77,POINT (-94.94553 29.19807),9566,-94.94569861,29.19968877,5,25,1,0,POINT (-94.94569861 29.19968877),24.33740308
2415,a026d7d7-39db-4a2c-8805-c1c0bb31bf10,POINT (-94.94537 29.19769),9565,-94.94524603,29.19921348,5,25,1,0,POINT (-94.94524603 29.19921348),20.08183467
2416,e169c53e-6892-4bcf-9fe4-b95cd5673d79,POINT (-94.94583 29.19744),9567,-94.94586685,29.20001119,5,25,1,0,POINT (-94.94586685 29.20001119),24.98717377
2417,ebaf1599-15a6-4920-a933-7cd08bad8a6c,POINT (-94.94601 29.1977),9567,-94.94586685,29.20001119,5,25,1,0,POINT (-94.94586685 29.20001119),27.2817275
2418,a2e730b3-3417-4ffb-98bd-5c863d3c67cc,POINT (-94.94623 29.19816),9570,-94.94635066,29.19921699,5,25,1,0,POINT (-94.94635066 29.19921699),16.81381328
