,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_TOWER
46,10600,-94.84785572,29.29027672,,,3,164.6833576,POINT (-10558415.001584278 3412643.8900758284),0.0008014363121439105
47,10601,-94.84787545,29.29041809,,,3,165.0089629,POINT (-10558417.197917834 3412661.934226064),0.0012421777499056486
48,10602,-94.84636296,29.29057774,,,3,166.405857,POINT (-10558248.828301203 3412682.3116245945),0.0009495927048925878
49,10603,-94.84639028,29.29071245,,,3,166.28374,POINT (-10558251.869549692 3412699.5057574566),0.0009495927048925878
50,10604,-94.84487627,29.29088329,,,3,165.5868203,POINT (-10558083.330727436 3412721.3114886708),0.0008027358575820598
51,10605,-94.84489817,29.29101177,,,3,166.0578973,POINT (-10558085.768624283 3412737.7104845243),0.0008027358575820598
52,10606,-94.84339818,29.29117968,,,3,165.6412136,POINT (-10557918.79050129 3412759.1422979496),0.0006886389981344276
53,10607,-94.84341705,29.29131041,,,3,165.1569208,POINT (-10557920.89110008 3412775.8285290576),0.0009910238523750392
54,10608,-94.84191052,29.29149285,,,3,166.8046231,POINT (-10557753.184947615 3412799.1150024794),5.338272766275409e-06
55,10609,-94.84194109,29.29161689,,,3,165.5064022,POINT (-10557756.58798445 3412814.94737749),5.338272766275409e-06
56,10610,-94.84041175,29.29188505,,,3,167.9034833,POINT (-10557586.342634398 3412849.1751897633),7.482035361716655e-06
57,10611,-94.84045387,29.29201255,,,3,166.2076262,POINT (-10557591.031411353 3412865.4492594157),7.482035361716655e-06
58,10612,-94.83890451,29.29225647,,,3,167.3452235,POINT (-10557418.557445096 3412896.583206769),0.0006866189791220334
59,10613,-94.83896547,29.29239305,,,3,166.9882378,POINT (-10557425.343481256 3412914.0163096315),0.0007743772823010087
60,10614,-94.83741576,29.29266306,,,3,166.9468653,POINT (-10557252.830553178 3412948.4805172305),0.0006767010869904722
61,10615,-94.83746431,29.29280691,,,3,164.9132396,POINT (-10557258.235114455 3412966.841638331),0.0006767010869904722
62,10616,-94.8359157,29.29306317,,,3,188.9856645,POINT (-10557085.844637819 3412999.5509195933),0.0006167457167343127
63,10617,-94.83601307,29.29318547,,,3,177.7382189,POINT (-10557096.683816638 3413015.1614421583),0.0006530585972749359
64,10618,-94.83403375,29.29405196,,,3,188.6505052,POINT (-10556876.34692212 3413125.761827914),0.0007074361855661238
65,10619,-94.83428373,29.29414675,,,3,172.0855514,POINT (-10556904.174568428 3413137.8610557253),0.0007074361855661238
66,10620,-94.83293372,29.29450869,,,3,157.3947244,POINT (-10556753.892142663 3413184.060067295),0.0006743406620839387
67,10621,-94.83253969,29.29444454,,,3,159.6189557,POINT (-10556710.028923707 3413175.8717738944),0.0005475869417906898
68,10622,-94.83146588,29.29487288,,,3,162.0374028,POINT (-10556590.492941296 3413230.5464402847),0.0005601270288776439
69,10623,-94.83117613,29.29482077,,,3,163.9333705,POINT (-10556558.23811884 3413223.8949435456),0.0005601270288776439
70,10624,-94.83003279,29.29528021,,,3,86.46999453,POINT (-10556430.962092236 3413282.5395368505),0.0007467246925109139
71,10625,-94.82960485,29.29524841,,,3,172.2859965,POINT (-10556383.324029345 3413278.4804606447),2.413850388127692e-06
72,10626,-94.83014402,29.29562435,,,3,62.11918689,POINT (-10556443.344159197 3413326.466991461),0.0007467246925109139
73,10627,-94.82809169,29.29562205,,,3,115.0497328,POINT (-10556214.879828656 3413326.1734094457),2.4512237807305937e-06
74,10628,-94.82914692,29.2959321,,,3,105.0271209,POINT (-10556332.347494928 3413365.7496011723),0.0013539807026824446
75,10629,-94.82826385,29.29618074,,,3,89.36546633,POINT (-10556234.044592192 3413397.4872281007),2.4512237807305937e-06
76,12555,-94.8244577,29.29655075,,,3,131.9019405,POINT (-10555810.345912308 3413444.717259117),0.0012166430813513873
77,13763,-94.86584703,29.28789556,,,3,229.4393054,POINT (-10560417.785052184 3412339.967898298),1.0674004230826206e-05
78,13764,-94.8658908,29.28802489,,,3,97.14598452,POINT (-10560422.657506296 3412356.474904114),1.0674004230826206e-05
79,16036,-94.85216329,29.28954805,,,3,0.0,POINT (-10558894.518083235 3412550.884664821),0.0007959476067028737
80,16037,-94.8521136,29.28940411,,,3,0.0,POINT (-10558888.986617738 3412532.5126422634),0.0008326244308701769
