,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_SUBSTATION
0,1,-94.82754687,29.29616639,,,20,299.3859436,POINT (-10556154.230743684 3413395.6555217416),0.01
1,2,-94.85337711,29.26065271,,,20,179.5010882,POINT (-10559029.639907552 3408863.2984433044),0.01
2,3,-94.91054062,29.22761695,,,20,34.21774366,POINT (-10565393.052732708 3404648.5934584634),0.01
3,4,-95.09075417,29.11266364,,,20,97.56752303,POINT (-10585454.333352756 3389993.4215499754),0.01
4,5,-94.79729463,29.30298393,,,20,76.20444328,POINT (-10552786.566791527 3414265.9096954777),0.01
5,6,-94.77145592,29.3108481,,,20,21.07865643,POINT (-10549910.214751571 3415269.837639186),0.01
6,7,-94.90067877,29.30416782,,,10,33.92267929,POINT (-10564295.236612426 3414417.038341179),0.01
7,8,-94.86117689,29.25516071,,,20,94.67971801,POINT (-10559897.90744545 3408162.5343178795),0.01
8,9,-94.8970971,29.26088469,,,40,4.706811575,POINT (-10563896.526931837 3408892.8992829),0.01
